,Interchange Revenue,Membership Plans Revenue,Credit Services Revenue
"Jan 1, 2021",1446200,28700,6700
"Feb 1, 2021",1543900,33700,8200
"Mar 1, 2021",2017300,41600,7800
"Apr 1, 2021",2105400,57500,13200
"May 1, 2021",2243700,76100,11700
"Jun 1, 2021",2407700,99000,15200
"Jul 1, 2021",2442300,111600,37700
"Aug 1, 2021",2461400,123500,51700
"Sep 1, 2021",2505900,134200,49500
"Oct 1, 2021",2606300,144100,48800
"Nov 1, 2021",2799000,156000,57700
"Dec 1, 2021",2504200,166900,73000
"Jan 1, 2022",2489200,172900,93100
"Feb 1, 2022",2593700,180500,107300
"Mar 1, 2022",3088100,188800,111600
"Apr 1, 2022",2893300,198100,118800
"May 1, 2022",3005100,209100,140100
"Jun 1, 2022",3077500,219000,150000
"Jul 1, 2022",3289600,225700,139500
"Aug 1, 2022",3307000,226900,142600
"Sep 1, 2022",3338700,225500,149500
"Oct 1, 2022",3585900,227500,148700
"Nov 1, 2022",3728200,231300,148000
"Dec 1, 2022",3354300,232600,147300
"Jan 1, 2023",3337500,231300,145700
"Feb 1, 2023",3455600,234400,157300
"Mar 1, 2023",4077800,238200,153900
"Apr 1, 2023",3946100,241700,152400
"May 1, 2023",4247500,245500,151600
"Jun 1, 2023",4650700,250500,152700
"Jul 1, 2023",4692400,255700,153400
"Aug 1, 2023",5060500,260800,148600
"Sep 1, 2023",5104500,266100,155700
"Oct 1, 2023",5440900,271300,156300
"Nov 1, 2023",5747500,276200,161000
"Dec 1, 2023",5102100,277700,165600
